Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.70389257344101,4.71420854849727,4.72309470865552,4.7276027993058,4.72293792821488,4.7083204539433,4.73598531272863,4.75092540711815,4.75827282360713,..
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,97.3419303600957,95.5102522466522,93.2028523705953,90.6111389900973,87.926202990788,85.2457718802438,83.2058048376338,81.2498276888205,79.3193832521676,..
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,102.045822933537,100.22446079515,97.9259470792508,95.3387417894031,92.6491409190029,89.9540923341871,87.9417901503625,86.0007530959387,84.0776560757747,..
Afghanistan,AFG,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,..,..,..,..,..,..,229,..,..,..
Afghanistan,AFG,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,37.55213,37.6852,37.82138,37.96068,37.5168703434373,37.5915295300905,37.6665345570879,37.7460320188898,..,..
Afghanistan,AFG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..,..
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,48.1781454062114,47.7015904387273,47.0897594509305,46.3866707443965,45.6405891930531,44.8770388848851,44.2721132547375,43.6825260049196,43.0901755117794,..
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,49.4937230317774,49.9439477089217,50.5239466960637,51.1931217965001,51.9078359358186,52.6442988256708,53.2079642015981,53.7632225246819,54.3248975483403,..
Afghanistan,AFG,"Population ages 65 and above, total",SP.POP.65UP.TO,679477,709103,743602,780991,818110,852997,891627,927101,960879,..
Afghanistan,AFG,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.212844933995976,0.220805727481828,0.224492845981747,0.223954194800885,0.219262687131651,0.210520471197658,0.222076281544933,0.229793236483945,0.233325824490103,..
Afghanistan,AFG,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.278039868053872,0.288640019589105,0.295081026530839,0.297143283296789,0.294972874878458,0.288860750155568,0.303802609369114,0.314761978008999,0.32098229099271,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,44.7040820390283,46.1315029255889,47.7305639800263,49.4280381705113,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479,56.937760009803,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.74657628012835,3.14312590262153,3.40758697372751,3.49458904891961,3.35558166118149,3.07708359546317,2.77831740938728,2.54834664435549,2.38476110022344,..
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,47.4757078907422,46.7472386204097,45.9116105171381,45.0502455986707,44.2696337800067,43.6236513259867,43.1187371220981,42.6990168187315,42.3311983623682,..
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,11.26930911291,11.1950286035524,11.0922444503093,10.9800964617182,10.8845746972637,10.8199742991165,10.7883084842018,10.7815017467297,10.792339238057,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,..
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,..
Afghanistan,AFG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.47290039593498,2.86606951019727,3.12844266743061,3.21333731463481,3.07221360668049,2.79024919014408,2.48932365978347,2.24112815187675,2.05646291237639,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,..
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.63095436314569,4.02810214835549,4.28893801297526,4.37235475998294,4.2297678342528,3.95176219129098,3.64941022142383,3.46340748347353,3.35038297624495,..
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,9.16975191915408,8.91679399595736,7.70780060287773,7.12277329020889,6.88210294277301,7.58538233129798,8.84261615837187,9.25046804855966,..,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,11.264133238155,-2.68108084876349,8.97487956759646,1.97416862890181,-0.665270517698119,-1.6228866716696,-0.541697283221524,0.0820789288754185,-1.35017833585495,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135,..
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.177104878719079,0.249835882112853,0.191031477450056,0.165535899086051,0.154910350011498,..,..,..,..,..
Albania,ALB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.9125347586229,16.3151924258376,16.743383665768,17.2155537368777,17.7563717993417,18.3779738972574,18.8700857938335,19.4180639378306,20.0412141646094,..
Albania,ALB,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,33.5653739204237,31.8028658028301,30.2896962311,29.0411021187597,28.0183077122575,27.172428567603,26.7749479170359,26.2640335507317,25.7688232292839,..
